date,price
2018-01-05,792000.0
2018-01-04,784000.0
2018-01-03,800000.0
2018-01-02,807000.0
2017-12-28,806000.0
2017-12-27,800000.0
2017-12-26,802000.0
2017-12-22,798000.0
2017-12-21,788000.0
2017-12-20,817000.0
2017-12-19,812000.0
2017-12-18,821000.0
2017-12-15,821000.0
2017-12-14,794000.0
2017-12-13,804000.0
2017-12-12,792000.0
2017-12-11,791000.0
2017-12-10,778000.0
2017-12-08,778000.0
2017-12-07,800000.0
2017-12-06,795000.0
2017-12-05,820000.0
2017-12-04,792000.0
2017-12-01,791000.0
2017-11-30,794000.0
2017-11-29,809000.0
2017-11-28,828000.0
2017-11-27,808000.0
2017-11-24,800000.0
2017-11-23,810000.0
2017-11-22,804000.0
2017-11-21,826000.0
2017-11-20,826000.0
2017-11-17,789000.0
2017-11-16,752000.0
2017-11-15,753000.0
2017-11-14,759000.0
2017-11-13,757000.0
2017-11-10,761000.0
2017-11-09,770000.0
2017-11-08,752000.0
2017-11-07,749000.0
2017-11-06,758000.0
2017-11-03,757000.0
2017-11-02,751000.0
2017-11-01,751000.0
2017-10-31,759000.0
2017-10-30,765000.0
2017-10-27,783000.0
2017-10-26,770000.0
2017-10-25,765000.0
2017-10-24,780000.0
2017-10-23,760000.0
2017-10-20,771000.0
2017-10-19,784000.0
2017-10-18,780000.0
2017-10-17,750000.0
2017-10-16,753000.0
2017-10-13,753000.0
2017-10-12,753000.0
2017-10-11,753000.0
2017-10-10,743000.0
2017-09-29,734000.0
2017-09-28,729000.0
2017-09-27,728000.0
2017-09-26,729000.0
2017-09-25,722000.0
2017-09-22,736000.0
2017-09-21,737000.0
2017-09-20,746000.0
2017-09-19,751000.0
2017-09-18,740000.0
2017-09-15,749000.0
2017-09-14,739000.0
2017-09-13,741000.0
2017-09-12,755000.0
2017-09-11,759000.0
2017-09-08,748000.0
2017-09-07,744000.0
2017-09-06,744000.0
2017-09-05,747000.0
2017-09-04,744000.0
2017-09-01,751000.0
2017-08-31,761000.0
2017-08-30,767000.0
2017-08-29,766000.0
2017-08-28,766000.0
2017-08-25,762000.0
2017-08-24,761000.0
2017-08-23,755000.0
2017-08-22,752000.0
2017-08-21,767000.0
2017-08-18,773000.0
2017-08-17,762000.0
2017-08-16,764000.0
2017-08-14,756000.0
2017-08-11,746000.0
2017-08-10,756000.0
2017-08-09,750000.0
2017-08-08,754000.0
2017-08-07,765000.0
2017-08-04,764000.0
2017-08-03,777000.0
2017-08-02,783000.0
2017-08-01,792000.0
2017-07-31,783000.0
2017-07-30,798000.0
2017-07-28,798000.0
2017-07-27,804000.0
2017-07-26,794000.0
2017-07-25,795000.0
2017-07-24,799000.0
2017-07-21,745000.0
2017-07-20,753000.0
2017-07-19,742000.0
2017-07-18,738000.0
2017-07-17,745000.0
2017-07-14,747000.0
2017-07-13,747000.0
2017-07-12,750000.0
2017-07-11,764000.0
2017-07-10,749000.0
2017-07-07,772000.0
2017-07-06,790000.0
2017-07-05,795000.0
2017-07-04,796000.0
2017-07-03,795000.0
2017-06-30,790000.0
2017-06-29,781000.0
2017-06-28,796000.0
2017-06-27,806000.0
2017-06-26,802000.0
2017-06-23,815000.0
2017-06-22,813000.0
2017-06-21,836000.0
2017-06-20,816000.0
2017-06-19,848000.0
2017-06-16,850000.0
2017-06-15,855000.0
2017-06-14,863000.0
2017-06-13,885000.0
2017-06-12,871000.0
2017-06-09,884000.0
2017-06-08,864000.0
2017-06-07,830000.0
2017-06-05,837000.0
2017-06-02,840000.0
2017-06-01,840000.0
2017-05-31,851000.0
2017-05-30,843000.0
2017-05-29,819000.0
2017-05-26,825000.0
2017-05-25,820000.0
2017-05-24,820000.0
2017-05-23,820000.0
2017-05-22,798000.0
2017-05-19,797000.0
2017-05-18,795000.0
2017-05-17,795000.0
2017-05-16,811000.0
2017-05-15,803000.0
2017-05-12,794000.0
2017-05-11,800000.0
2017-05-10,795000.0
